komentar,sentimen,emosi
"Gak nyangka, #KaburAjaDulu tuh keren banget 😭, ya gitu deh",Positif,Sedih
"Menurutku, ini self-care atau justru nyerah?, gitu aja sih",Netral,Lainnya
"Sumpah ya, pro kontra banget sih campaign ini, setuju gak lo?",Positif,Lainnya
"Lo tau gak sih, banyak yg bahas ini, seru juga sih, setuju gak lo?",Positif,Lainnya
"Menurutku, kadang emg harus kabur dulu biar balik lebih kuat 💪, anyway gw support deh",Positif,Lainnya
"Sumpah ya, gak semua bisa relate sama beginian, relate ga sih?",Netral,Lainnya
"Gw gak ngerti deh, harusnya ngajarin hadapi, bukan kabur 😑, menarik sih ini",Positif,Lainnya
"Asli deh, harusnya ngajarin hadapi, bukan kabur 😑, cuma pendapat pribadi ya",Sedih,Lainnya
"Gw gak ngerti deh, biasa aja sih menurut gw, gitu aja sih",Netral,Lainnya
"Menurutku, buat gw ini bukan nyerah, tapi self-care 💅, cuma pendapat pribadi ya",Netral,Lainnya
"Gw gak ngerti deh, #KaburAjaDulu malah nyuruh lari dari masalah 👎, cuma pendapat pribadi ya",Netral,Lainnya
"Ini tuh kayak, relate bgt ama hidup gw skrg 😭😭, semangat semua 💪",Positif,Sedih
"Gue rasa, campaign-nya relate abis sama anak muda skrg, setuju gak lo?",Positif,Lainnya
"Asli deh, #KaburAjaDulu tuh keren banget 😭, relate ga sih?",Positif,Sedih
"Asli deh, bukan solusi kalo cuman kabur doang, anyway gw support deh",Positif,Lainnya
"Gak nyangka, campaign-nya relate abis sama anak muda skrg, anyway gw support deh",Positif,Lainnya
"Gak nyangka, akhirnya ada yg bahas soal burnout 😩, wkwkwk",Negatif,Lainnya
"Gue rasa, bagus bgt buat ngingetin kita istirahat, wkwkwk",Positif,Lainnya
"Ini tuh kayak, gak semua bisa relate sama beginian, ya gitu deh",Netral,Lainnya
"Asli deh, #KaburAjaDulu tuh keren banget 😭, wkwkwk",Positif,Sedih
"Gw gak ngerti deh, #KaburAjaDulu malah nyuruh lari dari masalah 👎, cuma pendapat pribadi ya",Netral,Lainnya
"Lo tau gak sih, gak ngerti harus dukung apa enggak, wkwkwk",Positif,Lainnya
"Gak nyangka, biasa aja sih menurut gw, wkwkwk",Netral,Lainnya
"Gue rasa, #KaburAjaDulu tuh keren banget 😭, no offense ya",Positif,Sedih
"Gak nyangka, buat gw ini bukan nyerah, tapi self-care 💅, cuma pendapat pribadi ya",Netral,Lainnya
"Parah sih, #KaburAjaDulu malah nyuruh lari dari masalah 👎, cuma pendapat pribadi ya",Netral,Lainnya
"Baru ngeh kalo, lumayan rame, tp gue cuek aja, relate ga sih?",Netral,Lainnya
"Asli deh, gak ngerti harus dukung apa enggak, relate ga sih?",Positif,Lainnya
"Asli deh, kampanye beginian tuh cuma gimmick doang, setuju gak lo?",Positif,Lainnya
"Baru ngeh kalo, ini campaign waras banget sih, menarik sih ini",Positif,Lainnya
"Baru ngeh kalo, anak muda skrg terlalu dimanja pake campaign begini, gitu aja sih",Netral,Lainnya
"Gue rasa, #KaburAjaDulu tuh keren banget 😭, anyway gw support deh",Positif,Sedih
"Menurutku, gue dukung bgt ini gerakan ✊, cuma pendapat pribadi ya",Positif,Lainnya
"Menurutku, kesannya malah nyuruh nyerah bgt sih, menarik sih ini",Positif,Lainnya
"Parah sih, baru tau gerakan ini rame juga ya, ya gitu deh",Netral,Lainnya
"Ini tuh kayak, pro kontra banget sih campaign ini, gitu aja sih",Netral,Lainnya
"Ini tuh kayak, jadi alesan buat mager doang 😒, cuma pendapat pribadi ya",Netral,Lainnya
"Baru ngeh kalo, sering liat #KaburAjaDulu di FYP, apaan sih itu?, wkwkwk",Netral,Lainnya
"Gue rasa, harusnya ngajarin hadapi, bukan kabur 😑, relate ga sih?",Sedih,Lainnya
"Gue rasa, lumayan rame, tp gue cuek aja, cuma pendapat pribadi ya",Netral,Lainnya
"Ini tuh kayak, baru tau gerakan ini rame juga ya, gitu aja sih",Netral,Lainnya
"Menurutku, akhirnya ada yg bahas soal burnout 😩, gitu aja sih",Negatif,Lainnya
"Parah sih, beneran ngerasa divalidasi sm gerakan ini, ya gitu deh",Netral,Lainnya
"Parah sih, gak ngerti harus dukung apa enggak, no offense ya",Positif,Lainnya
"Ini tuh kayak, banyak yg bahas ini, seru juga sih, ya gitu deh",Netral,Lainnya
"Baru ngeh kalo, campaign-nya relate abis sama anak muda skrg, gitu aja sih",Netral,Lainnya
"Gak nyangka, ini campaign waras banget sih, wkwkwk",Netral,Lainnya
"Baru ngeh kalo, gue belum ngerti sepenuhnya soal gerakan ini, no offense ya",Netral,Lainnya
"Menurutku, ini campaign waras banget sih, ya gitu deh",Netral,Lainnya
"Gue rasa, buat gw ini bukan nyerah, tapi self-care 💅, wkwkwk",Netral,Lainnya
"Asli deh, kampanye ginian bisa disalahpahami loh, wkwkwk",Netral,Lainnya
"Baru ngeh kalo, campaign-nya relate abis sama anak muda skrg, semangat semua 💪",Positif,Lainnya
"Gak nyangka, kesannya malah nyuruh nyerah bgt sih, relate ga sih?",Netral,Lainnya
"Gak nyangka, bukan solusi kalo cuman kabur doang, cuma pendapat pribadi ya",Netral,Lainnya
"Gue rasa, bagus bgt buat ngingetin kita istirahat, cuma pendapat pribadi ya",Positif,Lainnya
"Gw gak ngerti deh, gak ngerti harus dukung apa enggak, anyway gw support deh",Positif,Lainnya
"Lo tau gak sih, relate bgt ama hidup gw skrg 😭😭, wkwkwk",Netral,Sedih
"Asli deh, masih bingung maksudnya kabur tuh kayak gimana?, wkwkwk",Netral,Lainnya
"Lo tau gak sih, kadang emg harus kabur dulu biar balik lebih kuat 💪, wkwkwk",Sedih,Lainnya
"Asli deh, beneran ngerasa divalidasi sm gerakan ini, semangat semua 💪",Positif,Lainnya
"Asli deh, akhirnya ada yg bahas soal burnout 😩, gitu aja sih",Negatif,Lainnya
"Gw gak ngerti deh, kampanye ginian bisa disalahpahami loh, anyway gw support deh",Positif,Lainnya
"Gak nyangka, baru tau gerakan ini rame juga ya, no offense ya",Netral,Lainnya
"Lo tau gak sih, kalo semua kabur, yg kerja siapa? 💀, gitu aja sih",Netral,Lainnya
"Menurutku, baru tau gerakan ini rame juga ya, ya gitu deh",Netral,Lainnya
"Asli deh, sering liat #KaburAjaDulu di FYP, apaan sih itu?, wkwkwk",Netral,Lainnya
"Menurutku, banyak yg bahas ini, seru juga sih, ya gitu deh",Netral,Lainnya
"Gw gak ngerti deh, bukan solusi kalo cuman kabur doang, anyway gw support deh",Positif,Lainnya
"Sumpah ya, gak semua bisa relate sama beginian, no offense ya",Netral,Lainnya
"Ini tuh kayak, kalo semua kabur, yg kerja siapa? 💀, menarik sih ini",Positif,Lainnya
"Gw gak ngerti deh, bukan solusi kalo cuman kabur doang, anyway gw support deh",Positif,Lainnya
"Gw gak ngerti deh, baru tau gerakan ini rame juga ya, gitu aja sih",Netral,Lainnya
"Menurutku, relate bgt ama hidup gw skrg 😭😭, gitu aja sih",Netral,Sedih
"Ini tuh kayak, relate bgt ama hidup gw skrg 😭😭, no offense ya",Netral,Sedih
"Asli deh, kampanye ginian bisa disalahpahami loh, relate ga sih?",Netral,Lainnya
"Gue rasa, beneran ngerasa divalidasi sm gerakan ini, menarik sih ini",Positif,Lainnya
"Menurutku, kampanye beginian tuh cuma gimmick doang, cuma pendapat pribadi ya",Netral,Lainnya
"Sumpah ya, gue belum ngerti sepenuhnya soal gerakan ini, semangat semua 💪",Positif,Lainnya
"Gw gak ngerti deh, harusnya ngajarin hadapi, bukan kabur 😑, menarik sih ini",Positif,Lainnya
"Gue rasa, banyak yg bahas ini, seru juga sih, setuju gak lo?",Positif,Lainnya
"Asli deh, akhirnya ada yg bahas soal burnout 😩, anyway gw support deh",Positif,Lainnya
"Sumpah ya, buat gw ini bukan nyerah, tapi self-care 💅, relate ga sih?",Netral,Lainnya
"Gw gak ngerti deh, kesannya malah nyuruh nyerah bgt sih, setuju gak lo?",Positif,Lainnya
"Asli deh, kampanye beginian tuh cuma gimmick doang, anyway gw support deh",Positif,Lainnya
"Lo tau gak sih, bukan solusi kalo cuman kabur doang, no offense ya",Netral,Lainnya
"Gue rasa, relate bgt ama hidup gw skrg 😭😭, setuju gak lo?",Positif,Sedih
"Menurutku, #KaburAjaDulu tuh keren banget 😭, ya gitu deh",Positif,Sedih
"Gak nyangka, bagus bgt buat ngingetin kita istirahat, menarik sih ini",Positif,Lainnya
"Gak nyangka, #KaburAjaDulu tuh keren banget 😭, gitu aja sih",Positif,Sedih
"Menurutku, harusnya ngajarin hadapi, bukan kabur 😑, ya gitu deh",Sedih,Lainnya
"Gue rasa, pro kontra banget sih campaign ini, ya gitu deh",Netral,Lainnya
"Baru ngeh kalo, masih bingung maksudnya kabur tuh kayak gimana?, semangat semua 💪",Positif,Lainnya
"Sumpah ya, bagus bgt buat ngingetin kita istirahat, setuju gak lo?",Positif,Lainnya
"Lo tau gak sih, #KaburAjaDulu tuh keren banget 😭, gitu aja sih",Positif,Sedih
"Ini tuh kayak, buat gw ini bukan nyerah, tapi self-care 💅, semangat semua 💪",Positif,Lainnya
"Baru ngeh kalo, kesannya malah nyuruh nyerah bgt sih, menarik sih ini",Positif,Lainnya
"Asli deh, kampanye beginian tuh cuma gimmick doang, semangat semua 💪",Positif,Lainnya
"Parah sih, pro kontra banget sih campaign ini, semangat semua 💪",Positif,Lainnya
"Baru ngeh kalo, ini campaign waras banget sih, gitu aja sih",Netral,Lainnya
"Asli deh, beneran ngerasa divalidasi sm gerakan ini, menarik sih ini",Positif,Lainnya
"Parah sih, banyak yg bahas ini, seru juga sih, gitu aja sih",Netral,Lainnya
"Ini tuh kayak, kalo semua kabur, yg kerja siapa? 💀, ya gitu deh",Netral,Lainnya
"Gue rasa, #KaburAjaDulu tuh keren banget 😭, relate ga sih?",Positif,Sedih
"Gue rasa, banyak yg bahas ini, seru juga sih, cuma pendapat pribadi ya",Netral,Lainnya
"Baru ngeh kalo, jadi alesan buat mager doang 😒, relate ga sih?",Netral,Lainnya
"Baru ngeh kalo, jadi alesan buat mager doang 😒, cuma pendapat pribadi ya",Netral,Lainnya
"Asli deh, kampanye ginian bisa disalahpahami loh, setuju gak lo?",Positif,Lainnya
"Ini tuh kayak, campaign-nya relate abis sama anak muda skrg, menarik sih ini",Positif,Lainnya
"Gue rasa, kadang emg harus kabur dulu biar balik lebih kuat 💪, no offense ya",Sedih,Lainnya
"Parah sih, kampanye beginian tuh cuma gimmick doang, wkwkwk",Netral,Lainnya
"Gak nyangka, relate bgt ama hidup gw skrg 😭😭, no offense ya",Netral,Sedih
"Gak nyangka, ini self-care atau justru nyerah?, anyway gw support deh",Positif,Lainnya
"Gw gak ngerti deh, masih bingung maksudnya kabur tuh kayak gimana?, relate ga sih?",Netral,Lainnya
"Lo tau gak sih, ini campaign waras banget sih, cuma pendapat pribadi ya",Netral,Lainnya
"Lo tau gak sih, masih bingung maksudnya kabur tuh kayak gimana?, relate ga sih?",Netral,Lainnya
"Ini tuh kayak, akhirnya ada yg bahas soal burnout 😩, no offense ya",Negatif,Lainnya
"Lo tau gak sih, kadang emg harus kabur dulu biar balik lebih kuat 💪, wkwkwk",Sedih,Lainnya
"Gw gak ngerti deh, bagus bgt buat ngingetin kita istirahat, ya gitu deh",Positif,Lainnya
"Ini tuh kayak, gue dukung bgt ini gerakan ✊, anyway gw support deh",Positif,Lainnya
"Gak nyangka, relate bgt ama hidup gw skrg 😭😭, menarik sih ini",Positif,Sedih
"Ini tuh kayak, sering liat #KaburAjaDulu di FYP, apaan sih itu?, anyway gw support deh",Positif,Lainnya
"Sumpah ya, ini campaign waras banget sih, setuju gak lo?",Positif,Lainnya
"Parah sih, gue belum ngerti sepenuhnya soal gerakan ini, anyway gw support deh",Positif,Lainnya
"Ini tuh kayak, ini campaign waras banget sih, setuju gak lo?",Positif,Lainnya
"Gue rasa, #KaburAjaDulu malah nyuruh lari dari masalah 👎, relate ga sih?",Netral,Lainnya
"Asli deh, akhirnya ada yg bahas soal burnout 😩, ya gitu deh",Negatif,Lainnya
"Gue rasa, buat gw ini bukan nyerah, tapi self-care 💅, cuma pendapat pribadi ya",Netral,Lainnya
"Asli deh, lumayan rame, tp gue cuek aja, setuju gak lo?",Positif,Lainnya
"Menurutku, ini self-care atau justru nyerah?, relate ga sih?",Netral,Lainnya
"Ini tuh kayak, ini campaign waras banget sih, no offense ya",Netral,Lainnya
"Menurutku, ini campaign waras banget sih, anyway gw support deh",Positif,Lainnya
"Gw gak ngerti deh, gak semua bisa relate sama beginian, cuma pendapat pribadi ya",Netral,Lainnya
"Gw gak ngerti deh, akhirnya ada yg bahas soal burnout 😩, relate ga sih?",Negatif,Lainnya
"Ini tuh kayak, akhirnya ada yg bahas soal burnout 😩, cuma pendapat pribadi ya",Negatif,Lainnya
"Gak nyangka, biasa aja sih menurut gw, semangat semua 💪",Positif,Lainnya
"Asli deh, kampanye ginian bisa disalahpahami loh, wkwkwk",Netral,Lainnya
"Lo tau gak sih, gue dukung bgt ini gerakan ✊, relate ga sih?",Positif,Lainnya
"Lo tau gak sih, akhirnya ada yg bahas soal burnout 😩, cuma pendapat pribadi ya",Negatif,Lainnya
"Menurutku, kalo semua kabur, yg kerja siapa? 💀, ya gitu deh",Netral,Lainnya
"Sumpah ya, ini self-care atau justru nyerah?, setuju gak lo?",Positif,Lainnya
"Menurutku, banyak yg bahas ini, seru juga sih, gitu aja sih",Netral,Lainnya
"Gw gak ngerti deh, bukan solusi kalo cuman kabur doang, setuju gak lo?",Positif,Lainnya
"Lo tau gak sih, kadang emg harus kabur dulu biar balik lebih kuat 💪, cuma pendapat pribadi ya",Sedih,Lainnya
"Parah sih, bagus bgt buat ngingetin kita istirahat, semangat semua 💪",Positif,Lainnya
"Lo tau gak sih, kalo semua kabur, yg kerja siapa? 💀, no offense ya",Netral,Lainnya
"Lo tau gak sih, anak muda skrg terlalu dimanja pake campaign begini, anyway gw support deh",Positif,Lainnya
"Baru ngeh kalo, gak semua bisa relate sama beginian, wkwkwk",Netral,Lainnya
"Gak nyangka, gue belum ngerti sepenuhnya soal gerakan ini, anyway gw support deh",Positif,Lainnya
"Menurutku, ini campaign waras banget sih, wkwkwk",Netral,Lainnya
"Asli deh, kampanye ginian bisa disalahpahami loh, anyway gw support deh",Positif,Lainnya
"Gak nyangka, beneran ngerasa divalidasi sm gerakan ini, cuma pendapat pribadi ya",Netral,Lainnya
"Gak nyangka, beneran ngerasa divalidasi sm gerakan ini, no offense ya",Netral,Lainnya
"Asli deh, lumayan rame, tp gue cuek aja, menarik sih ini",Positif,Lainnya
"Parah sih, kesannya malah nyuruh nyerah bgt sih, no offense ya",Netral,Lainnya
"Gue rasa, bagus bgt buat ngingetin kita istirahat, ya gitu deh",Positif,Lainnya
"Lo tau gak sih, buat gw ini bukan nyerah, tapi self-care 💅, semangat semua 💪",Positif,Lainnya
"Parah sih, kampanye ginian bisa disalahpahami loh, no offense ya",Netral,Lainnya
"Gak nyangka, ini campaign waras banget sih, wkwkwk",Netral,Lainnya
"Gw gak ngerti deh, relate bgt ama hidup gw skrg 😭😭, relate ga sih?",Netral,Sedih
"Gw gak ngerti deh, kadang emg harus kabur dulu biar balik lebih kuat 💪, setuju gak lo?",Positif,Lainnya
"Gue rasa, kesannya malah nyuruh nyerah bgt sih, setuju gak lo?",Positif,Lainnya
"Lo tau gak sih, kalo semua kabur, yg kerja siapa? 💀, relate ga sih?",Netral,Lainnya
"Sumpah ya, harusnya ngajarin hadapi, bukan kabur 😑, gitu aja sih",Sedih,Lainnya
"Gue rasa, beneran ngerasa divalidasi sm gerakan ini, semangat semua 💪",Positif,Lainnya
"Menurutku, baru tau gerakan ini rame juga ya, anyway gw support deh",Positif,Lainnya
"Ini tuh kayak, baru tau gerakan ini rame juga ya, semangat semua 💪",Positif,Lainnya
"Lo tau gak sih, bagus bgt buat ngingetin kita istirahat, semangat semua 💪",Positif,Lainnya
"Parah sih, harusnya ngajarin hadapi, bukan kabur 😑, wkwkwk",Sedih,Lainnya
"Lo tau gak sih, ini self-care atau justru nyerah?, wkwkwk",Netral,Lainnya
"Lo tau gak sih, buat gw ini bukan nyerah, tapi self-care 💅, anyway gw support deh",Positif,Lainnya
"Gue rasa, #KaburAjaDulu malah nyuruh lari dari masalah 👎, menarik sih ini",Positif,Lainnya
"Ini tuh kayak, gue dukung bgt ini gerakan ✊, no offense ya",Positif,Lainnya
"Asli deh, masih bingung maksudnya kabur tuh kayak gimana?, anyway gw support deh",Positif,Lainnya
"Lo tau gak sih, kesannya malah nyuruh nyerah bgt sih, menarik sih ini",Positif,Lainnya
"Baru ngeh kalo, gue belum ngerti sepenuhnya soal gerakan ini, no offense ya",Netral,Lainnya
"Gw gak ngerti deh, kesannya malah nyuruh nyerah bgt sih, wkwkwk",Netral,Lainnya
"Baru ngeh kalo, pro kontra banget sih campaign ini, anyway gw support deh",Positif,Lainnya
"Lo tau gak sih, kadang emg harus kabur dulu biar balik lebih kuat 💪, ya gitu deh",Sedih,Lainnya
"Menurutku, gak ngerti harus dukung apa enggak, anyway gw support deh",Positif,Lainnya
"Baru ngeh kalo, gak ngerti harus dukung apa enggak, setuju gak lo?",Positif,Lainnya
"Parah sih, kampanye beginian tuh cuma gimmick doang, anyway gw support deh",Positif,Lainnya
"Menurutku, #KaburAjaDulu tuh keren banget 😭, semangat semua 💪",Positif,Sedih
"Baru ngeh kalo, bukan solusi kalo cuman kabur doang, ya gitu deh",Netral,Lainnya
"Ini tuh kayak, sering liat #KaburAjaDulu di FYP, apaan sih itu?, semangat semua 💪",Positif,Lainnya
"Sumpah ya, bukan solusi kalo cuman kabur doang, cuma pendapat pribadi ya",Netral,Lainnya
"Ini tuh kayak, kampanye ginian bisa disalahpahami loh, gitu aja sih",Netral,Lainnya
"Baru ngeh kalo, campaign-nya relate abis sama anak muda skrg, setuju gak lo?",Positif,Lainnya
"Gak nyangka, jadi alesan buat mager doang 😒, relate ga sih?",Netral,Lainnya
"Gak nyangka, gue dukung bgt ini gerakan ✊, no offense ya",Positif,Lainnya
"Asli deh, buat gw ini bukan nyerah, tapi self-care 💅, relate ga sih?",Netral,Lainnya
"Menurutku, akhirnya ada yg bahas soal burnout 😩, ya gitu deh",Negatif,Lainnya
"Baru ngeh kalo, bukan solusi kalo cuman kabur doang, gitu aja sih",Netral,Lainnya
"Sumpah ya, lumayan rame, tp gue cuek aja, gitu aja sih",Netral,Lainnya
"Gak nyangka, kesannya malah nyuruh nyerah bgt sih, no offense ya",Netral,Lainnya
"Baru ngeh kalo, biasa aja sih menurut gw, semangat semua 💪",Positif,Lainnya
"Gue rasa, akhirnya ada yg bahas soal burnout 😩, anyway gw support deh",Positif,Lainnya
"Gue rasa, gak semua bisa relate sama beginian, cuma pendapat pribadi ya",Netral,Lainnya
"Baru ngeh kalo, kampanye ginian bisa disalahpahami loh, semangat semua 💪",Positif,Lainnya
"Lo tau gak sih, lumayan rame, tp gue cuek aja, ya gitu deh",Netral,Lainnya
"Menurutku, gak semua bisa relate sama beginian, setuju gak lo?",Positif,Lainnya
"Gak nyangka, kalo semua kabur, yg kerja siapa? 💀, ya gitu deh",Netral,Lainnya
"Gak nyangka, gak ngerti harus dukung apa enggak, setuju gak lo?",Positif,Lainnya
"Ini tuh kayak, buat gw ini bukan nyerah, tapi self-care 💅, menarik sih ini",Positif,Lainnya
"Ini tuh kayak, lumayan rame, tp gue cuek aja, setuju gak lo?",Positif,Lainnya
"Baru ngeh kalo, biasa aja sih menurut gw, no offense ya",Netral,Lainnya
"Sumpah ya, bagus bgt buat ngingetin kita istirahat, semangat semua 💪",Positif,Lainnya
"Parah sih, sering liat #KaburAjaDulu di FYP, apaan sih itu?, setuju gak lo?",Positif,Lainnya
"Sumpah ya, masih bingung maksudnya kabur tuh kayak gimana?, setuju gak lo?",Positif,Lainnya
"Parah sih, beneran ngerasa divalidasi sm gerakan ini, semangat semua 💪",Positif,Lainnya
"Gw gak ngerti deh, gue belum ngerti sepenuhnya soal gerakan ini, setuju gak lo?",Positif,Lainnya
"Gak nyangka, ini campaign waras banget sih, anyway gw support deh",Positif,Lainnya
"Lo tau gak sih, anak muda skrg terlalu dimanja pake campaign begini, semangat semua 💪",Positif,Lainnya
"Baru ngeh kalo, bagus bgt buat ngingetin kita istirahat, semangat semua 💪",Positif,Lainnya
"Menurutku, beneran ngerasa divalidasi sm gerakan ini, relate ga sih?",Netral,Lainnya
"Asli deh, kadang emg harus kabur dulu biar balik lebih kuat 💪, cuma pendapat pribadi ya",Sedih,Lainnya
"Gw gak ngerti deh, relate bgt ama hidup gw skrg 😭😭, cuma pendapat pribadi ya",Netral,Sedih
"Baru ngeh kalo, bagus bgt buat ngingetin kita istirahat, no offense ya",Positif,Lainnya
"Parah sih, kampanye beginian tuh cuma gimmick doang, wkwkwk",Netral,Lainnya
"Lo tau gak sih, harusnya ngajarin hadapi, bukan kabur 😑, relate ga sih?",Sedih,Lainnya
"Asli deh, #KaburAjaDulu malah nyuruh lari dari masalah 👎, ya gitu deh",Netral,Lainnya
"Ini tuh kayak, kampanye beginian tuh cuma gimmick doang, no offense ya",Netral,Lainnya
"Sumpah ya, #KaburAjaDulu tuh keren banget 😭, relate ga sih?",Positif,Sedih
"Gw gak ngerti deh, gue belum ngerti sepenuhnya soal gerakan ini, relate ga sih?",Netral,Lainnya
"Menurutku, kesannya malah nyuruh nyerah bgt sih, relate ga sih?",Netral,Lainnya
"Gak nyangka, akhirnya ada yg bahas soal burnout 😩, menarik sih ini",Positif,Lainnya
"Lo tau gak sih, #KaburAjaDulu tuh keren banget 😭, ya gitu deh",Positif,Sedih
"Gw gak ngerti deh, kadang emg harus kabur dulu biar balik lebih kuat 💪, semangat semua 💪",Positif,Lainnya
"Asli deh, gue belum ngerti sepenuhnya soal gerakan ini, cuma pendapat pribadi ya",Netral,Lainnya
"Baru ngeh kalo, sering liat #KaburAjaDulu di FYP, apaan sih itu?, setuju gak lo?",Positif,Lainnya
"Parah sih, harusnya ngajarin hadapi, bukan kabur 😑, cuma pendapat pribadi ya",Sedih,Lainnya
"Sumpah ya, buat gw ini bukan nyerah, tapi self-care 💅, semangat semua 💪",Positif,Lainnya
"Menurutku, anak muda skrg terlalu dimanja pake campaign begini, gitu aja sih",Netral,Lainnya
"Parah sih, #KaburAjaDulu tuh keren banget 😭, gitu aja sih",Positif,Sedih
"Gue rasa, kesannya malah nyuruh nyerah bgt sih, ya gitu deh",Netral,Lainnya
"Gw gak ngerti deh, #KaburAjaDulu malah nyuruh lari dari masalah 👎, setuju gak lo?",Positif,Lainnya
"Asli deh, relate bgt ama hidup gw skrg 😭😭, anyway gw support deh",Positif,Sedih
"Baru ngeh kalo, masih bingung maksudnya kabur tuh kayak gimana?, gitu aja sih",Netral,Lainnya
"Lo tau gak sih, gue belum ngerti sepenuhnya soal gerakan ini, no offense ya",Netral,Lainnya
"Sumpah ya, buat gw ini bukan nyerah, tapi self-care 💅, setuju gak lo?",Positif,Lainnya
"Sumpah ya, kampanye beginian tuh cuma gimmick doang, setuju gak lo?",Positif,Lainnya
"Gue rasa, relate bgt ama hidup gw skrg 😭😭, menarik sih ini",Positif,Sedih
"Baru ngeh kalo, beneran ngerasa divalidasi sm gerakan ini, menarik sih ini",Positif,Lainnya
"Baru ngeh kalo, kadang emg harus kabur dulu biar balik lebih kuat 💪, semangat semua 💪",Positif,Lainnya
"Sumpah ya, sering liat #KaburAjaDulu di FYP, apaan sih itu?, menarik sih ini",Positif,Lainnya
"Ini tuh kayak, lumayan rame, tp gue cuek aja, menarik sih ini",Positif,Lainnya
"Ini tuh kayak, pro kontra banget sih campaign ini, ya gitu deh",Netral,Lainnya
"Ini tuh kayak, bagus bgt buat ngingetin kita istirahat, anyway gw support deh",Positif,Lainnya
"Gue rasa, kesannya malah nyuruh nyerah bgt sih, setuju gak lo?",Positif,Lainnya
"Parah sih, gue belum ngerti sepenuhnya soal gerakan ini, wkwkwk",Netral,Lainnya
"Menurutku, gak semua bisa relate sama beginian, wkwkwk",Netral,Lainnya
"Lo tau gak sih, beneran ngerasa divalidasi sm gerakan ini, relate ga sih?",Netral,Lainnya
"Menurutku, kalo semua kabur, yg kerja siapa? 💀, relate ga sih?",Netral,Lainnya
"Lo tau gak sih, sering liat #KaburAjaDulu di FYP, apaan sih itu?, setuju gak lo?",Positif,Lainnya
"Asli deh, banyak yg bahas ini, seru juga sih, wkwkwk",Netral,Lainnya
"Gue rasa, pro kontra banget sih campaign ini, wkwkwk",Netral,Lainnya
"Baru ngeh kalo, kadang emg harus kabur dulu biar balik lebih kuat 💪, menarik sih ini",Positif,Lainnya
"Sumpah ya, #KaburAjaDulu tuh keren banget 😭, semangat semua 💪",Positif,Sedih
"Gw gak ngerti deh, #KaburAjaDulu malah nyuruh lari dari masalah 👎, cuma pendapat pribadi ya",Netral,Lainnya
"Lo tau gak sih, harusnya ngajarin hadapi, bukan kabur 😑, anyway gw support deh",Positif,Lainnya
"Sumpah ya, relate bgt ama hidup gw skrg 😭😭, no offense ya",Netral,Sedih
"Sumpah ya, campaign-nya relate abis sama anak muda skrg, semangat semua 💪",Positif,Lainnya
"Lo tau gak sih, kampanye beginian tuh cuma gimmick doang, cuma pendapat pribadi ya",Netral,Lainnya
"Menurutku, harusnya ngajarin hadapi, bukan kabur 😑, no offense ya",Sedih,Lainnya
"Sumpah ya, ini self-care atau justru nyerah?, menarik sih ini",Positif,Lainnya
"Ini tuh kayak, lumayan rame, tp gue cuek aja, cuma pendapat pribadi ya",Netral,Lainnya
"Gw gak ngerti deh, ini campaign waras banget sih, no offense ya",Netral,Lainnya
"Ini tuh kayak, gue belum ngerti sepenuhnya soal gerakan ini, no offense ya",Netral,Lainnya
"Gue rasa, pro kontra banget sih campaign ini, no offense ya",Netral,Lainnya
"Gue rasa, masih bingung maksudnya kabur tuh kayak gimana?, gitu aja sih",Netral,Lainnya
"Asli deh, kadang emg harus kabur dulu biar balik lebih kuat 💪, wkwkwk",Sedih,Lainnya
"Ini tuh kayak, jadi alesan buat mager doang 😒, ya gitu deh",Netral,Lainnya
"Asli deh, sering liat #KaburAjaDulu di FYP, apaan sih itu?, ya gitu deh",Netral,Lainnya
"Ini tuh kayak, kadang emg harus kabur dulu biar balik lebih kuat 💪, gitu aja sih",Sedih,Lainnya
"Parah sih, pro kontra banget sih campaign ini, wkwkwk",Netral,Lainnya
"Lo tau gak sih, relate bgt ama hidup gw skrg 😭😭, semangat semua 💪",Positif,Sedih
"Menurutku, kalo semua kabur, yg kerja siapa? 💀, no offense ya",Netral,Lainnya
"Menurutku, buat gw ini bukan nyerah, tapi self-care 💅, anyway gw support deh",Positif,Lainnya
"Menurutku, buat gw ini bukan nyerah, tapi self-care 💅, no offense ya",Netral,Lainnya
"Menurutku, kadang emg harus kabur dulu biar balik lebih kuat 💪, no offense ya",Sedih,Lainnya
"Gue rasa, masih bingung maksudnya kabur tuh kayak gimana?, ya gitu deh",Netral,Lainnya
"Gw gak ngerti deh, biasa aja sih menurut gw, no offense ya",Netral,Lainnya
"Menurutku, relate bgt ama hidup gw skrg 😭😭, wkwkwk",Netral,Sedih
"Ini tuh kayak, anak muda skrg terlalu dimanja pake campaign begini, anyway gw support deh",Positif,Lainnya
"Asli deh, harusnya ngajarin hadapi, bukan kabur 😑, relate ga sih?",Sedih,Lainnya
"Gw gak ngerti deh, ini campaign waras banget sih, setuju gak lo?",Positif,Lainnya
"Ini tuh kayak, gak semua bisa relate sama beginian, gitu aja sih",Netral,Lainnya
"Baru ngeh kalo, sering liat #KaburAjaDulu di FYP, apaan sih itu?, semangat semua 💪",Positif,Lainnya
"Sumpah ya, campaign-nya relate abis sama anak muda skrg, menarik sih ini",Positif,Lainnya
